C.Rep,Week,C.Light,C.Nutrients,Species,Individuals
1,0,H,L,Lm,50
1,0,H,H,Lm,50
2,0,H,L,Lm,50
2,0,H,H,Lm,50
1,0,H,M,Lm,50
2,0,H,M,Lm,50
1,0,M,H,Lm,50
1,0,M,L,Lm,50
1,0,M,M,Lm,50
2,0,M,H,Lm,50
2,0,M,L,Lm,50
2,0,M,M,Lm,50
1,0,L,L,Lm,50
1,0,L,H,Lm,50
2,0,L,H,Lm,50
1,0,L,M,Lm,50
2,0,L,M,Lm,50
2,0,L,L,Lm,50
1,1,H,L,Lm,63
1,1,H,H,Lm,66
2,1,H,L,Lm,69
2,1,H,H,Lm,67
1,1,H,M,Lm,70
2,1,H,M,Lm,68
1,1,M,H,Lm,60
1,1,M,L,Lm,68
1,1,M,M,Lm,63
2,1,M,H,Lm,60
2,1,M,L,Lm,59
2,1,M,M,Lm,61
1,1,L,L,Lm,60
1,1,L,H,Lm,62
2,1,L,H,Lm,64
1,1,L,M,Lm,59
2,1,L,M,Lm,61
2,1,L,L,Lm,62
1,3,H,L,Lm,229
1,3,H,H,Lm,312
2,3,H,L,Lm,273
2,3,H,H,Lm,463
1,3,H,M,Lm,468
2,3,H,M,Lm,368
1,3,M,H,Lm,304
1,3,M,L,Lm,262
1,3,M,M,Lm,271
2,3,M,H,Lm,392
2,3,M,L,Lm,205
2,3,M,M,Lm,351
1,3,L,L,Lm,285
1,3,L,H,Lm,300
2,3,L,H,Lm,396
1,3,L,M,Lm,227
2,3,L,M,Lm,251
2,3,L,L,Lm,211
1,5,H,L,Lm,284
1,5,H,H,Lm,461
2,5,H,L,Lm,294
2,5,H,H,Lm,376
1,5,H,M,Lm,446
2,5,H,M,Lm,419
1,5,M,H,Lm,341
1,5,M,L,Lm,339
1,5,M,M,Lm,403
2,5,M,H,Lm,467
2,5,M,L,Lm,341
2,5,M,M,Lm,514
1,5,L,L,Lm,434
1,5,L,H,Lm,431
2,5,L,H,Lm,602
1,5,L,M,Lm,595
2,5,L,M,Lm,639
2,5,L,L,Lm,412
1,7,H,L,Lm,264
1,7,H,H,Lm,275
2,7,H,L,Lm,150
2,7,H,H,Lm,245
1,7,H,M,Lm,212
2,7,H,M,Lm,222
1,7,M,H,Lm,743
1,7,M,L,Lm,335
1,7,M,M,Lm,521
2,7,M,H,Lm,574
2,7,M,L,Lm,237
2,7,M,M,Lm,498
1,7,L,L,Lm,498
1,7,L,H,Lm,1107
2,7,L,H,Lm,830
1,7,L,M,Lm,746
2,7,L,M,Lm,853
2,7,L,L,Lm,589
1,9,H,L,Lm,122
1,9,H,H,Lm,340
2,9,H,L,Lm,116
2,9,H,H,Lm,244
1,9,H,M,Lm,196
2,9,H,M,Lm,207
1,9,M,H,Lm,865
1,9,M,L,Lm,374
1,9,M,M,Lm,489
2,9,M,H,Lm,886
2,9,M,L,Lm,276
2,9,M,M,Lm,583
1,9,L,L,Lm,579
1,9,L,H,Lm,1308
2,9,L,H,Lm,985
1,9,L,M,Lm,773
2,9,L,M,Lm,590
2,9,L,L,Lm,600
1,11,H,L,Lm,126
1,11,H,H,Lm,314
2,11,H,L,Lm,183
2,11,H,H,Lm,350
1,11,H,M,Lm,323
2,11,H,M,Lm,235
1,11,M,H,Lm,1358
1,11,M,L,Lm,358
1,11,M,M,Lm,422
2,11,M,H,Lm,1865
2,11,M,L,Lm,512
2,11,M,M,Lm,567
1,11,L,L,Lm,634
1,11,L,H,Lm,1157
2,11,L,H,Lm,1098
1,11,L,M,Lm,864
2,11,L,M,Lm,810
2,11,L,L,Lm,608
1,14,H,L,Lm,190
1,14,H,H,Lm,330
2,14,H,L,Lm,291
2,14,H,H,Lm,392
1,14,H,M,Lm,443
2,14,H,M,Lm,303
1,14,M,H,Lm,1793
1,14,M,L,Lm,397
1,14,M,M,Lm,444
2,14,M,H,Lm,2126
2,14,M,L,Lm,553
2,14,M,M,Lm,590
1,14,L,L,Lm,685
1,14,L,H,Lm,1197
2,14,L,H,Lm,1329
1,14,L,M,Lm,962
2,14,L,M,Lm,909
2,14,L,L,Lm,778
1,0,H,L,Rn,10
1,0,H,H,Rn,10
2,0,H,L,Rn,10
2,0,H,H,Rn,10
1,0,H,M,Rn,10
2,0,H,M,Rn,10
1,0,M,H,Rn,10
1,0,M,L,Rn,10
1,0,M,M,Rn,10
2,0,M,H,Rn,10
2,0,M,L,Rn,10
2,0,M,M,Rn,10
1,0,L,L,Rn,10
1,0,L,H,Rn,10
2,0,L,H,Rn,10
1,0,L,M,Rn,10
2,0,L,M,Rn,10
2,0,L,L,Rn,10
1,1,H,L,Rn,13
1,1,H,H,Rn,12
2,1,H,L,Rn,11
2,1,H,H,Rn,11
1,1,H,M,Rn,11
2,1,H,M,Rn,13
1,1,M,H,Rn,11
1,1,M,L,Rn,11
1,1,M,M,Rn,13
2,1,M,H,Rn,11
2,1,M,L,Rn,11
2,1,M,M,Rn,11
1,1,L,L,Rn,10
1,1,L,H,Rn,12
2,1,L,H,Rn,12
1,1,L,M,Rn,13
2,1,L,M,Rn,12
2,1,L,L,Rn,10
1,3,H,L,Rn,39
1,3,H,H,Rn,30
2,3,H,L,Rn,27
2,3,H,H,Rn,25
1,3,H,M,Rn,25
2,3,H,M,Rn,45
1,3,M,H,Rn,22
1,3,M,L,Rn,20
1,3,M,M,Rn,39
2,3,M,H,Rn,22
2,3,M,L,Rn,19
2,3,M,M,Rn,25
1,3,L,L,Rn,15
1,3,L,H,Rn,16
2,3,L,H,Rn,36
1,3,L,M,Rn,43
2,3,L,M,Rn,23
2,3,L,L,Rn,16
1,5,H,L,Rn,35
1,5,H,H,Rn,41
2,5,H,L,Rn,32
2,5,H,H,Rn,36
1,5,H,M,Rn,28
2,5,H,M,Rn,32
1,5,M,H,Rn,42
1,5,M,L,Rn,21
1,5,M,M,Rn,26
2,5,M,H,Rn,24
2,5,M,L,Rn,45
2,5,M,M,Rn,23
1,5,L,L,Rn,20
1,5,L,H,Rn,40
2,5,L,H,Rn,40
1,5,L,M,Rn,12
2,5,L,M,Rn,11
2,5,L,L,Rn,22
1,7,H,L,Rn,43
1,7,H,H,Rn,59
2,7,H,L,Rn,44
2,7,H,H,Rn,32
1,7,H,M,Rn,40
2,7,H,M,Rn,27
1,7,M,H,Rn,57
1,7,M,L,Rn,32
1,7,M,M,Rn,40
2,7,M,H,Rn,45
2,7,M,L,Rn,40
2,7,M,M,Rn,41
1,7,L,L,Rn,20
1,7,L,H,Rn,20
2,7,L,H,Rn,39
1,7,L,M,Rn,25
2,7,L,M,Rn,29
2,7,L,L,Rn,23
1,9,H,L,Rn,34
1,9,H,H,Rn,54
2,9,H,L,Rn,43
2,9,H,H,Rn,29
1,9,H,M,Rn,25
2,9,H,M,Rn,35
1,9,M,H,Rn,48
1,9,M,L,Rn,17
1,9,M,M,Rn,41
2,9,M,H,Rn,48
2,9,M,L,Rn,28
2,9,M,M,Rn,43
1,9,L,L,Rn,31
1,9,L,H,Rn,37
2,9,L,H,Rn,42
1,9,L,M,Rn,46
2,9,L,M,Rn,36
2,9,L,L,Rn,31
1,11,H,L,Rn,35
1,11,H,H,Rn,42
2,11,H,L,Rn,51
2,11,H,H,Rn,26
1,11,H,M,Rn,21
2,11,H,M,Rn,47
1,11,M,H,Rn,57
1,11,M,L,Rn,26
1,11,M,M,Rn,32
2,11,M,H,Rn,66
2,11,M,L,Rn,33
2,11,M,M,Rn,50
1,11,L,L,Rn,24
1,11,L,H,Rn,45
2,11,L,H,Rn,39
1,11,L,M,Rn,41
2,11,L,M,Rn,41
2,11,L,L,Rn,29
1,14,H,L,Rn,54
1,14,H,H,Rn,48
2,14,H,L,Rn,72
2,14,H,H,Rn,29
1,14,H,M,Rn,28
2,14,H,M,Rn,61
1,14,M,H,Rn,65
1,14,M,L,Rn,28
1,14,M,M,Rn,34
2,14,M,H,Rn,73
2,14,M,L,Rn,36
2,14,M,M,Rn,50
1,14,L,L,Rn,24
1,14,L,H,Rn,54
2,14,L,H,Rn,47
1,14,L,M,Rn,42
2,14,L,M,Rn,41
2,14,L,L,Rn,30
1,0,H,L,Sp,18
1,0,H,H,Sp,18
2,0,H,L,Sp,18
2,0,H,H,Sp,18
1,0,H,M,Sp,18
2,0,H,M,Sp,18
1,0,M,H,Sp,18
1,0,M,L,Sp,18
1,0,M,M,Sp,18
2,0,M,H,Sp,18
2,0,M,L,Sp,18
2,0,M,M,Sp,18
1,0,L,L,Sp,18
1,0,L,H,Sp,18
2,0,L,H,Sp,18
1,0,L,M,Sp,18
2,0,L,M,Sp,18
2,0,L,L,Sp,18
1,1,H,L,Sp,23
1,1,H,H,Sp,22
2,1,H,L,Sp,20
2,1,H,H,Sp,20
1,1,H,M,Sp,23
2,1,H,M,Sp,24
1,1,M,H,Sp,22
1,1,M,L,Sp,20
1,1,M,M,Sp,21
2,1,M,H,Sp,22
2,1,M,L,Sp,23
2,1,M,M,Sp,23
1,1,L,L,Sp,22
1,1,L,H,Sp,23
2,1,L,H,Sp,23
1,1,L,M,Sp,23
2,1,L,M,Sp,21
2,1,L,L,Sp,23
1,3,H,L,Sp,65
1,3,H,H,Sp,63
2,3,H,L,Sp,33
2,3,H,H,Sp,78
1,3,H,M,Sp,62
2,3,H,M,Sp,65
1,3,M,H,Sp,62
1,3,M,L,Sp,87
1,3,M,M,Sp,59
2,3,M,H,Sp,80
2,3,M,L,Sp,72
2,3,M,M,Sp,77
1,3,L,L,Sp,65
1,3,L,H,Sp,118
2,3,L,H,Sp,109
1,3,L,M,Sp,73
2,3,L,M,Sp,66
2,3,L,L,Sp,91
1,5,H,L,Sp,82
1,5,H,H,Sp,85
2,5,H,L,Sp,52
2,5,H,H,Sp,87
1,5,H,M,Sp,40
2,5,H,M,Sp,52
1,5,M,H,Sp,37
1,5,M,L,Sp,121
1,5,M,M,Sp,75
2,5,M,H,Sp,41
2,5,M,L,Sp,136
2,5,M,M,Sp,79
1,5,L,L,Sp,133
1,5,L,H,Sp,134
2,5,L,H,Sp,126
1,5,L,M,Sp,88
2,5,L,M,Sp,73
2,5,L,L,Sp,91
1,7,H,L,Sp,73
1,7,H,H,Sp,46
2,7,H,L,Sp,62
2,7,H,H,Sp,53
1,7,H,M,Sp,78
2,7,H,M,Sp,41
1,7,M,H,Sp,75
1,7,M,L,Sp,91
1,7,M,M,Sp,80
2,7,M,H,Sp,82
2,7,M,L,Sp,26
2,7,M,M,Sp,176
1,7,L,L,Sp,154
1,7,L,H,Sp,142
2,7,L,H,Sp,223
1,7,L,M,Sp,167
2,7,L,M,Sp,186
2,7,L,L,Sp,100
1,9,H,L,Sp,45
1,9,H,H,Sp,38
2,9,H,L,Sp,33
2,9,H,H,Sp,42
1,9,H,M,Sp,58
2,9,H,M,Sp,40
1,9,M,H,Sp,31
1,9,M,L,Sp,64
1,9,M,M,Sp,29
2,9,M,H,Sp,107
2,9,M,L,Sp,29
2,9,M,M,Sp,152
1,9,L,L,Sp,152
1,9,L,H,Sp,210
2,9,L,H,Sp,210
1,9,L,M,Sp,143
2,9,L,M,Sp,128
2,9,L,L,Sp,121
1,11,H,L,Sp,31
1,11,H,H,Sp,31
2,11,H,L,Sp,27
2,11,H,H,Sp,57
1,11,H,M,Sp,13
2,11,H,M,Sp,31
1,11,M,H,Sp,6
1,11,M,L,Sp,24
1,11,M,M,Sp,57
2,11,M,H,Sp,45
2,11,M,L,Sp,37
2,11,M,M,Sp,123
1,11,L,L,Sp,101
1,11,L,H,Sp,273
2,11,L,H,Sp,231
1,11,L,M,Sp,108
2,11,L,M,Sp,236
2,11,L,L,Sp,134
1,14,H,L,Sp,46
1,14,H,H,Sp,90
2,14,H,L,Sp,40
2,14,H,H,Sp,111
1,14,H,M,Sp,17
2,14,H,M,Sp,41
1,14,M,H,Sp,7
1,14,M,L,Sp,28
1,14,M,M,Sp,60
2,14,M,H,Sp,54
2,14,M,L,Sp,41
2,14,M,M,Sp,129
1,14,L,L,Sp,84
1,14,L,H,Sp,243
2,14,L,H,Sp,215
1,14,L,M,Sp,106
2,14,L,M,Sp,227
2,14,L,L,Sp,105
1,0,H,L,Wc,279
1,0,H,H,Wc,279
2,0,H,L,Wc,279
2,0,H,H,Wc,279
1,0,H,M,Wc,279
2,0,H,M,Wc,279
1,0,M,H,Wc,279
1,0,M,L,Wc,279
1,0,M,M,Wc,279
2,0,M,H,Wc,279
2,0,M,L,Wc,279
2,0,M,M,Wc,279
1,0,L,L,Wc,279
1,0,L,H,Wc,279
2,0,L,H,Wc,279
1,0,L,M,Wc,279
2,0,L,M,Wc,279
2,0,L,L,Wc,279
1,1,H,L,Wc,16
1,1,H,H,Wc,14
2,1,H,L,Wc,15
2,1,H,H,Wc,13
1,1,H,M,Wc,12
2,1,H,M,Wc,15
1,1,M,H,Wc,12
1,1,M,L,Wc,15
1,1,M,M,Wc,19
2,1,M,H,Wc,20
2,1,M,L,Wc,20
2,1,M,M,Wc,24
1,1,L,L,Wc,21
1,1,L,H,Wc,11
2,1,L,H,Wc,20
1,1,L,M,Wc,15
2,1,L,M,Wc,24
2,1,L,L,Wc,24
1,3,H,L,Wc,11
1,3,H,H,Wc,30
2,3,H,L,Wc,15
2,3,H,H,Wc,19
1,3,H,M,Wc,16
2,3,H,M,Wc,16
1,3,M,H,Wc,17
1,3,M,L,Wc,13
1,3,M,M,Wc,24
2,3,M,H,Wc,27
2,3,M,L,Wc,23
2,3,M,M,Wc,34
1,3,L,L,Wc,36
1,3,L,H,Wc,11
2,3,L,H,Wc,47
1,3,L,M,Wc,32
2,3,L,M,Wc,64
2,3,L,L,Wc,24
1,5,H,L,Wc,6
1,5,H,H,Wc,63
2,5,H,L,Wc,11
2,5,H,H,Wc,76
1,5,H,M,Wc,38
2,5,H,M,Wc,15
1,5,M,H,Wc,9
1,5,M,L,Wc,10
1,5,M,M,Wc,8
2,5,M,H,Wc,12
2,5,M,L,Wc,4
2,5,M,M,Wc,4
1,5,L,L,Wc,29
1,5,L,H,Wc,69
2,5,L,H,Wc,57
1,5,L,M,Wc,24
2,5,L,M,Wc,64
2,5,L,L,Wc,6
1,7,H,L,Wc,6
1,7,H,H,Wc,87
2,7,H,L,Wc,11
2,7,H,H,Wc,36
1,7,H,M,Wc,10
2,7,H,M,Wc,16
1,7,M,H,Wc,60
1,7,M,L,Wc,10
1,7,M,M,Wc,7
2,7,M,H,Wc,60
2,7,M,L,Wc,5
2,7,M,M,Wc,4
1,7,L,L,Wc,26
1,7,L,H,Wc,149
2,7,L,H,Wc,169
1,7,L,M,Wc,42
2,7,L,M,Wc,81
2,7,L,L,Wc,10
1,9,H,L,Wc,12
1,9,H,H,Wc,57
2,9,H,L,Wc,15
2,9,H,H,Wc,42
1,9,H,M,Wc,29
2,9,H,M,Wc,18
1,9,M,H,Wc,42
1,9,M,L,Wc,9
1,9,M,M,Wc,8
2,9,M,H,Wc,21
2,9,M,L,Wc,8
2,9,M,M,Wc,3
1,9,L,L,Wc,32
1,9,L,H,Wc,403
2,9,L,H,Wc,232
1,9,L,M,Wc,109
2,9,L,M,Wc,158
2,9,L,L,Wc,24
1,11,H,L,Wc,5
1,11,H,H,Wc,61
2,11,H,L,Wc,13
2,11,H,H,Wc,69
1,11,H,M,Wc,14
2,11,H,M,Wc,10
1,11,M,H,Wc,21
1,11,M,L,Wc,6
1,11,M,M,Wc,5
2,11,M,H,Wc,19
2,11,M,L,Wc,7
2,11,M,M,Wc,4
1,11,L,L,Wc,14
1,11,L,H,Wc,293
2,11,L,H,Wc,310
1,11,L,M,Wc,102
2,11,L,M,Wc,111
2,11,L,L,Wc,52
1,14,H,L,Wc,16
1,14,H,H,Wc,71
2,14,H,L,Wc,33
2,14,H,H,Wc,77
1,14,H,M,Wc,18
2,14,H,M,Wc,13
1,14,M,H,Wc,24
1,14,M,L,Wc,7
1,14,M,M,Wc,5
2,14,M,H,Wc,21
2,14,M,L,Wc,8
2,14,M,M,Wc,4
1,14,L,L,Wc,16
1,14,L,H,Wc,334
2,14,L,H,Wc,326
1,14,L,M,Wc,107
2,14,L,M,Wc,113
2,14,L,L,Wc,58